,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
380,,,,,,,,right_only,M001185,NY-18,1,"Maloney, Sean",D,1,1,R,"129,369",D,"162,060"
381,,,,,,,,right_only,F000464,NY-19,0,"Faso, John",R,0,0,D,"141,224",R,"166,171"
233, Paul,Tonko,"Tonko, Paul",Democratic,Democratic - New York,New York,NY,both,T000469,NY-20,1,"Tonko, Paul",D,1,1,R,"100,738",D,"213,021"
382,,,,,,,,right_only,S001196,NY-21,1,"Stefanik, Elise",R,1,1,D,"82,161",R,"177,886"
228, Claudia,Tenney,"Tenney, Claudia",Republican,Republican - New York,New York,NY,both,T000478,NY-22,0,"Tenney, Claudia",R,0,0,D,"114,266",R,"129,444"
191, Tom,Reed,"Reed, Tom",Republican,Republican - New York,New York,NY,both,R000585,NY-23,1,"Reed, Tom",R,1,1,D,"118,584",R,"161,050"
124, John,Katko,"Katko, John",Republican,Republican - New York,New York,NY,both,K000386,NY-24,1,"Katko, John",R,1,1,D,"119,040",R,"182,761"
383,,,,,,,,right_only,S000480,NY-25,1,"Slaughter, Louise",D,1,1,R,"142,650",D,"182,950"
107, Brian,Higgins,"Higgins, Brian",Democratic,Democratic - New York,New York,NY,both,H001038,NY-26,1,"Higgins, Brian",D,1,1,R,"73,377",D,"215,289"
48, Chris,Collins,"Collins, Chris",Republican,Republican - New York,New York,NY,both,C001092,NY-27,1,"Collins, Chris",R,1,1,D,"107,832",R,"220,885"
23, Rob,Portman,"Portman, Rob",Republican,Republican - Ohio,Ohio,OH,,P000449,OH,1,Portman,R,1,1,D,"1,996,908",R,"3,118,567"
40, Steve,Chabot,"Chabot, Steve",Republican,Republican - Ohio,Ohio,OH,both,C000266,OH-01,1,"Chabot, Steve",R,1,1,D,"144,644",R,"210,014"
384,,,,,,,,right_only,W000815,OH-02,1,"Wenstrup, Brad",R,1,1,D,"111,694",R,"221,193"
9, Joyce,Beatty,"Beatty, Joyce",Democratic,Democratic - Ohio,Ohio,OH,both,B001281,OH-03,1,"Beatty, Joyce",D,1,1,R,"91,560",D,"199,791"
122, Jim,Jordan,"Jordan, Jim",Republican,Republican - Ohio,Ohio,OH,both,J000289,OH-04,1,"Jordan, Jim",R,1,1,D,"98,981",R,"210,227"
385,,,,,,,,right_only,L000566,OH-05,1,"Latta, Bob",R,1,1,D,"100,392",R,"244,599"
119, Bill,Johnson,"Johnson, Bill",Republican,Republican - Ohio,Ohio,OH,both,J000292,OH-06,1,"Johnson, Bill",R,1,1,D,"88,780",R,"213,975"
87, Bob,Gibbs,"Gibbs, Bob",Republican,Republican - Ohio,Ohio,OH,both,G000563,OH-07,1,"Gibbs, Bob",R,1,1,D,"89,638",R,"198,221"
60, Warren,Davidson,"Davidson, Warren",Republican,Republican - Ohio,Ohio,OH,both,D000626,OH-08,1,"Davidson, Warren",R,1,1,D,"87,794",R,"223,833"
123, Marcy,Kaptur,"Kaptur, Marcy",Democratic,Democratic - Ohio,Ohio,OH,both,K000009,OH-09,1,"Kaptur, Marcy",D,1,1,R,"88,427",D,"193,966"
386,,,,,,,,right_only,T000463,OH-10,1,"Turner, Michael",R,1,1,D,"109,981",R,"215,724"
387,,,,,,,,right_only,F000455,OH-11,1,"Fudge, Marcia",D,1,1,R,"59,769",D,"242,917"
388,,,,,,,,right_only,T000462,OH-12,1,"Tiberi, Patrick",R,1,1,D,"112,638",R,"251,266"
203, Tim,Ryan,"Ryan, Tim",Democratic,Democratic - Ohio,Ohio,OH,both,R000577,OH-13,1,"Ryan, Tim",D,1,1,R,"99,377",D,"208,610"
389,,,,,,,,right_only,J000295,OH-14,1,"Joyce, David",R,1,1,D,"130,907",R,"219,191"
224, Steve,Stivers,"Stivers, Steve",Republican,Republican - Ohio,Ohio,OH,both,S001187,OH-15,1,"Stivers, Steve",R,1,1,D,"113,960",R,"222,847"
390,,,,,,,,right_only,R000586,OH-16,1,"Renacci, Jim",R,1,1,D,"119,830",R,"225,794"
12, James,Lankford,"Lankford, James",Republican,Republican - Oklahoma,Oklahoma,OK,,L000575,OK,1,Lankford,R,1,1,D,"355,911",R,"980,892"
25, Jim,Bridenstine,"Bridenstine, Jim",Republican,Republican - Oklahoma,Oklahoma,OK,both,B001283,OK-01,1,"Bridenstine, Jim",R,1,1,,,R,
164, Markwayne,Mullin,"Mullin, Markwayne",Republican,Republican - Oklahoma,Oklahoma,OK,both,M001190,OK-02,1,"Mullin, Markwayne",R,1,1,D,"62,387",R,"189,839"
391,,,,,,,,right_only,L000491,OK-03,1,"Lucas, Frank",R,1,1,D,"63,090",R,"227,525"
47, Tom,Cole,"Cole, Tom",Republican,Republican - Oklahoma,Oklahoma,OK,both,C001053,OK-04,1,"Cole, Tom",R,1,1,D,"76,472",R,"204,143"
202, Steve,Russell,"Russell, Steve",Republican,Republican - Oklahoma,Oklahoma,OK,both,R000604,OK-05,1,"Russell, Steve",R,1,1,D,"103,273",R,"160,184"
33, Ron,Wyden,"Wyden, Ron",Democratic,Democratic - Oregon,Oregon,OR,,W000779,OR,1,Wyden,D,1,1,R,"651,106",D,"1,105,119"
21, Suzanne,Bonamici,"Bonamici, Suzanne",Democratic,Democratic - Oregon,Oregon,OR,both,B001278,OR-01,1,"Bonamici, Suzanne",D,1,1,R,"139,756",D,"225,391"
240, Greg,Walden,"Walden, Greg",Republican,Republican - Oregon,Oregon,OR,both,W000791,OR-02,1,"Walden, Greg",R,1,1,D,"106,640",R,"272,952"
19, Earl,Blumenauer,"Blumenauer, Earl",Democratic,Democratic - Oregon,Oregon,OR,both,B000574,OR-03,1,"Blumenauer, Earl",D,1,1,I,"78,154",D,"274,687"
392,,,,,,,,right_only,D000191,OR-04,1,"DeFazio, Peter",D,1,1,R,"157,743",D,"220,628"
206, Kurt,Schrader,"Schrader, Kurt",Democratic,Democratic - Oregon,Oregon,OR,both,S001180,OR-05,1,"Schrader, Kurt",D,1,1,R,"160,443",D,"199,505"
31, Pat,Toomey,"Toomey, Pat",Republican,Republican - Pennsylvania,Pennsylvania,PA,,T000461,PA,1,Toomey,R,1,1,D,"2,865,012",R,"2,951,702"
393,,,,,,,,right_only,B001227,PA-01,1,"Brady, Bob",D,1,1,R,"53,219",D,"245,791"
74, Dwight,Evans,"Evans, Dwight",Democratic,Democratic - Pennsylvania,Pennsylvania,PA,both,E000296,PA-02,0,"Evans, Dwight",D,0,0,R,"35,131",D,"322,514"
125, Mike,Kelly,"Kelly, Mike",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,K000376,PA-03,0,"Kelly, Mike",R,1,1,NONE,"244,893",R,"271,098"
178, Scott,Perry,"Perry, Scott",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,P000605,PA-04,1,"Perry, Scott",R,1,1,D,"113,372",R,"220,628"
229, Glenn,Thompson,"Thompson, Glenn",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,T000467,PA-05,1,"Thompson, Glenn",R,1,1,D,"101,082",R,"206,761"
394,,,,,,,,right_only,C001106,PA-06,1,"Costello, Ryan",R,1,1,D,"155,000",R,"207,469"
395,,,,,,,,right_only,M001181,PA-07,1,"Meehan, Pat",R,1,1,D,"153,824",R,"225,678"
396,,,,,,,,right_only,F000466,PA-08,1,"Fitzpatrick, Brian",R,1,1,D,"173,555",R,"207,263"
397,,,,,,,,right_only,S001154,PA-09,1,"Schuster, Bill",R,1,1,D,"107,985",R,"186,580"
150, Tom,Marino,"Marino, Tom",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,M001179,PA-10,1,"Marino, Tom",R,1,1,D,"89,823",R,"211,282"
5, Lou,Barletta,"Barletta, Lou",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,B001269,PA-11,1,"Barletta, Lou",R,1,1,D,"113,800",R,"199,421"
398,,,,,,,,right_only,R000598,PA-12,1,"Rothfus, Keith",R,1,1,D,"137,353",R,"221,851"
399,,,,,,,,right_only,B001296,PA-13,0,"Boyle, Brendan",D,1,1,NONE,0,D,"239,316"
400,,,,,,,,right_only,D000482,PA-14,1,"Doyle, Michael",D,1,1,R,"87,999",D,"255,293"
401,,,,,,,,right_only,D000604,PA-15,1,"Dent, Charlie",R,1,1,D,"124,129",R,"190,618"
220, Lloyd,Smucker,"Smucker, Lloyd",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,S001199,PA-16,1,"Smucker, Lloyd",R,1,1,D,"134,586",R,"168,669"
37, Matt,Cartwright,"Cartwright, Matt",Democratic,Democratic - Pennsylvania,Pennsylvania,PA,both,C001090,PA-17,1,"Cartwright, Matt",D,1,1,R,"135,430",D,"157,734"
166, Tim,Murphy,"Murphy, Tim",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,M001151,PA-18,1,"Murphy, Tim",R,1,1,NONE,0,R,"293,684"
402,,,,,,,,right_only,C001084,RI-01,1,"Cicilline, David",D,1,1,R,"71,023",D,"130,534"
403,,,,,,,,right_only,L000559,RI-02,1,"Langevin, Jim",D,1,1,R,"70,301",D,"133,108"
28, Tim,Scott,"Scott, Tim",Republican,Republican - South Carolina,South Carolina,SC,,S001184,SC,1,Scott,R,1,1,D,"757,022",R,"1,241,609"
204, Mark,Sanford,"Sanford, Mark",Republican,Republican - South Carolina,South Carolina,SC,both,S000051,SC-01,1,"Sanford, Mark",R,1,1,D,"119,799",R,"190,410"
250, Joe,Wilson,"Wilson, Joe",Republican,Republican - South Carolina,South Carolina,SC,both,W000795,SC-02,1,"Wilson, Joe",R,1,1,D,"109,452",R,"183,746"
70, Jeff,Duncan,"Duncan, Jeff",Republican,Republican - South Carolina,South Carolina,SC,both,D000615,SC-03,1,"Duncan, Jeff",R,1,1,D,"72,933",R,"196,325"
92, Trey,Gowdy,"Gowdy, Trey",Republican,Republican - South Carolina,South Carolina,SC,both,G000566,SC-04,1,"Gowdy, Trey",R,1,1,D,"91,676",R,"198,648"
165, Mick,Mulvaney,"Mulvaney, Mick",Republican,Republican - South Carolina,South Carolina,SC,both,M001182,SC-05,1,"Mulvaney, Mick",R,1,1,D,"105,772",R,"161,669"
404,,,,,,,,right_only,C000537,SC-06,1,"Clyburn, Jim",D,1,1,R,"70,099",D,"177,947"
192, Tom,Rice,"Rice, Tom",Republican,Republican - South Carolina,South Carolina,SC,both,R000597,SC-07,1,"Rice, Tom",R,1,1,D,"112,744",R,"176,468"
30, John,Thune,"Thune, John",Republican,Republican - South Dakota,South Dakota,SD,,T000250,SD,1,Thune,R,1,1,D,"104,140",R,"265,516"
405,,,,,,,,right_only,N000184,SD-AL,1,"Noem, Kristi",R,1,1,D,"132,810",R,"237,163"
406,,,,,,,,right_only,R000582,TN-01,1,"Roe, Phil",R,1,1,D,"39,024",R,"198,293"
407,,,,,,,,right_only,D000533,TN-02,1,"Duncan, John",R,1,1,D,"68,401",R,"212,455"
408,,,,,,,,right_only,F000459,TN-03,1,"Fleischmann, Chuck",R,1,1,D,"76,727",R,"176,613"
66, Scott,DesJarlais,"DesJarlais, Scott",Republican,Republican - Tennessee,Tennessee,TN,both,D000616,TN-04,1,"DesJarlais, Scott",R,1,1,D,"89,141",R,"165,796"
53, Jim,Cooper,"Cooper, Jim",Democratic,Democratic - Tennessee,Tennessee,TN,both,C000754,TN-05,1,"Cooper, Jim",D,1,1,R,"102,433",D,"171,111"
16, Diane,Black,"Black, Diane",Republican,Republican - Tennessee,Tennessee,TN,both,B001273,TN-06,1,"Black, Diane",R,1,1,D,"61,995",R,"202,234"
17, Marsha,Blackburn,"Blackburn, Marsha",Republican,Republican - Tennessee,Tennessee,TN,both,B001243,TN-07,1,"Blackburn, Marsha",R,1,1,D,"65,226",R,"200,407"
133, David,Kustoff,"Kustoff, David",Republican,Republican - Tennessee,Tennessee,TN,both,K000392,TN-08,0,"Kustoff, David",R,0,0,D,"70,925",R,"194,386"
46, Steve,Cohen,"Cohen, Steve",Democratic,Democratic - Tennessee,Tennessee,TN,both,C001068,TN-09,1,"Cohen, Steve",D,1,1,R,"41,123",D,"171,631"
88, Louie,Gohmert,"Gohmert, Louie",Republican,Republican - Texas,Texas,TX,both,G000552,TX-01,1,"Gohmert, Louie",R,1,1,D,"62,847",R,"192,434"
182, Ted,Poe,"Poe, Ted",Republican,Republican - Texas,Texas,TX,both,P000592,TX-02,1,"Poe, Ted",R,1,1,D,"100,231",R,"168,692"
121, Sam,Johnson,"Johnson, Sam",Republican,Republican - Texas,Texas,TX,both,J000174,TX-03,1,"Johnson, Sam",R,1,1,D,"109,420",R,"193,684"
190, John,Ratcliffe,"Ratcliffe, John",Republican,Republican - Texas,Texas,TX,both,R000601,TX-04,1,"Ratcliffe, John",R,1,1,L,"29,577",R,"216,643"
105, Jeb,Hensarling,"Hensarling, Jeb",Republican,Republican - Texas,Texas,TX,both,H001036,TX-05,1,"Hensarling, Jeb",R,1,1,L,"37,406",R,"155,469"
7, Joe,Barton,"Barton, Joe",Republican,Republican - Texas,Texas,TX,both,B000213,TX-06,1,"Barton, Joe",R,1,1,D,"106,667",R,"159,444"
409,,,,,,,,right_only,C001048,TX-07,1,"Culberson, John",R,1,1,D,"111,991",R,"143,542"
23, Kevin,Brady,"Brady, Kevin",Republican,Republican - Texas,Texas,TX,both,B000755,TX-08,1,"Brady, Kevin",R,1,1,NONE,0,R,"236,379"
97, Al,Green,"Green, Al",Democratic,Democratic - Texas,Texas,TX,both,G000553,TX-09,1,"Green, Al",D,1,1,R,"36,491",D,"152,032"
410,,,,,,,,right_only,M001157,TX-10,1,"McCaul, Michael",R,1,1,D,"120,170",R,"179,221"
411,,,,,,,,right_only,C001062,TX-11,1,"Conaway, Michael",R,1,1,L,"23,677",R,"201,871"
93, Kay,Granger,"Granger, Kay",Republican,Republican - Texas,Texas,TX,both,G000377,TX-12,1,"Granger, Kay",R,1,1,D,"76,029",R,"196,482"
231, Mac,Thornberry,"Thornberry, Mac",Republican,Republican - Texas,Texas,TX,both,T000238,TX-13,1,"Thornberry, Mac",R,1,1,L,"14,725",R,"199,050"
412,,,,,,,,right_only,W000814,TX-14,1,"Weber, Randy",R,1,1,D,"99,054",R,"160,631"
89, Vicente,Gonzalez,"Gonzalez, Vicente",Democratic,Democratic - Texas,Texas,TX,both,G000581,TX-15,1,"Gonzalez, Vicente",D,1,1,R,"66,877",D,"101,712"
172, Beto,O'Rourke,"O'Rourke, Beto",Democratic,Democratic - Texas,Texas,TX,both,O000170,TX-16,1,"O'Rourke, Beto",D,1,1,L,"17,491",D,"150,228"
76, Bill,Flores,"Flores, Bill",Republican,Republican - Texas,Texas,TX,both,F000461,TX-17,1,"Flores, Bill",R,1,1,D,"86,603",R,"149,417"
413,,,,,,,,right_only,J000032,TX-18,1,"Jackson-Lee, Sheila",D,1,1,R,"48,306",D,"150,157"
414,,,,,,,,right_only,A000375,TX-19,1,"Arrington, Jodey",R,1,1,L,"17,376",R,"176,314"
39, Joaquin,Castro,"Castro, Joaquin",Democratic,Democratic - Texas,Texas,TX,both,C001091,TX-20,1,"Castro, Joaquin",D,1,1,L,"29,055",D,"149,640"
219, Lamar,Smith,"Smith, Lamar",Republican,Republican - Texas,Texas,TX,both,S000583,TX-21,1,"Smith, Lamar",R,1,1,D,"129,765",R,"202,967"
173, Pete,Olson,"Olson, Pete",Republican,Republican - Texas,Texas,TX,both,O000168,TX-22,1,"Olson, Pete",R,1,1,D,"123,679",R,"181,864"
116, Will,Hurd,"Hurd, Will",Republican,Republican - Texas,Texas,TX,both,H001073,TX-23,1,"Hurd, Will",R,1,1,D,"107,526",R,"110,577"
149, Kenny,Marchant,"Marchant, Kenny",Republican,Republican - Texas,Texas,TX,both,M001158,TX-24,1,"Marchant, Kenny",R,1,1,D,"108,389",R,"154,845"
249, Roger,Williams,"Williams, Roger",Republican,Republican - Texas,Texas,TX,both,W000816,TX-25,1,"Williams, Roger",R,1,1,D,"117,073",R,"180,988"
415,,,,,,,,right_only,B001248,TX-26,1,"Burgess, Michael",R,1,1,D,"94,507",R,"211,730"
75, Blake,Farenthold,"Farenthold, Blake",Republican,Republican - Texas,Texas,TX,both,F000460,TX-27,1,"Farenthold, Blake",R,1,1,D,"88,329",R,"142,251"
58, Henry,Cuellar,"Cuellar, Henry",Democratic,Democratic - Texas,Texas,TX,both,C001063,TX-28,1,"Cuellar, Henry",D,1,1,R,"57,740",D,"122,086"
98, Gene,Green,"Green, Gene",Democratic,Democratic - Texas,Texas,TX,both,G000410,TX-29,1,"Green, Gene",D,1,1,R,"31,646",D,"95,649"
416,,,,,,,,right_only,J000126,TX-30,1,"Johnson, E.B.",D,1,1,R,"41,518",D,"170,502"
417,,,,,,,,right_only,C001051,TX-31,1,"Carter, John",R,1,1,D,"103,852",R,"166,060"
210, Pete,Sessions,"Sessions, Pete",Republican,Republican - Texas,Texas,TX,both,S000250,TX-32,1,"Sessions, Pete",R,1,1,L,"43,490",R,"162,868"
418,,,,,,,,right_only,V000131,TX-33,1,"Veasey, Marc",D,1,1,R,"33,222",D,"93,147"
237, Filemon,Vela,"Vela, Filemon",Democratic,Democratic - Texas,Texas,TX,both,V000132,TX-34,1,"Vela, Filemon",D,1,1,R,"62,323",D,"104,638"
69, Lloyd,Doggett,"Doggett, Lloyd",Democratic,Democratic - Texas,Texas,TX,both,D000399,TX-35,1,"Doggett, Lloyd",D,1,1,R,"62,384",D,"124,612"
2, Brian,Babin,"Babin, Brian",Republican,Republican - Texas,Texas,TX,both,B001291,TX-36,1,"Babin, Brian",R,1,1,G,"24,890",R,"193,675"
14, Mike,Lee,"Lee, Mike",Republican,Republican - Utah,Utah,UT,,L000577,UT,1,Lee,R,1,1,D,"301,860",R,"760,241"
15, Rob,Bishop,"Bishop, Rob",Republican,Republican - Utah,Utah,UT,both,B001250,UT-01,1,"Bishop, Rob",R,1,1,D,"73,380",R,"182,925"
223, Chris,Stewart,"Stewart, Chris",Republican,Republican - Utah,Utah,UT,both,S001192,UT-02,1,"Stewart, Chris",R,1,1,D,"93,778",R,"170,524"
41, Jason,Chaffetz,"Chaffetz, Jason",Republican,Republican - Utah,Utah,UT,both,C001076,UT-03,1,"Chaffetz, Jason",R,1,1,D,"75,716",R,"209,589"
419,,,,,,,,right_only,L000584,UT-04,1,"Love, Mia",R,1,1,D,"113,413",R,"147,597"
420,,,,,,,,right_only,W000804,VA-01,1,"Wittman, Rob",R,1,1,D,"140,785",R,"230,213"
227, Scott,Taylor,"Taylor, Scott",Republican,Republican - Virginia,Virginia,VA,both,T000477,VA-02,1,"Taylor, Scott",R,1,1,D,"119,440",R,"190,475"
421,,,,,,,,right_only,S000185,VA-03,1,"Scott, Bobby",D,1,1,R,"103,289",D,"208,337"
422,,,,,,,,right_only,M001200,VA-04,0,"McEachin, Donald",R,0,0,R,"145,731",D,"200,136"
423,,,,,,,,right_only,G000580,VA-05,0,"Garrett, Tom",R,0,0,D,"148,339",R,"207,758"
90, Bob,Goodlatte,"Goodlatte, Bob",Republican,Republican - Virginia,Virginia,VA,both,G000289,VA-06,1,"Goodlatte, Bob",R,1,1,D,"112,170",R,"225,471"
24, Dave,Brat,"Brat, Dave",Republican,Republican - Virginia,Virginia,VA,both,B001290,VA-07,1,"Brat, Dave",R,1,1,D,"160,159",R,"218,057"
424,,,,,,,,right_only,B001292,VA-08,1,"Beyer, Don",D,1,1,R,"98,387",D,"246,653"
425,,,,,,,,right_only,G000568,VA-09,1,"Griffith, Morgan",R,1,1,D,"87,877",R,"212,838"
51, Barbara,Comstock,"Comstock, Barbara",Republican,Republican - Virginia,Virginia,VA,both,C001105,VA-10,1,"Comstock, Barbara",R,1,1,D,"187,712",R,"210,791"
426,,,,,,,,right_only,C001078,VA-11,0,"Connolly, Gerry",D,1,1,Write in,"34,185",D,"247,818"
13, Patrick J.,Leahy,"Leahy, Patrick J.",Democratic,Democratic - Vermont,Vermont,VT,,L000174,VT,1,Leahy,D,1,1,R,"103,637",D,"192,243"
247, Peter,Welch,"Welch, Peter",Democratic,Democratic - Vermont,Vermont,VT,both,W000800,VT-AL,1,"Welch, Peter",D,1,1,LU,"29,410",D,"264,414"
20, Patty,Murray,"Murray, Patty",Democratic,Democratic - Washington,Washington,WA,,M001111,WA,1,Murray,D,1,1,R,"1,329,338",D,"1,913,979"
427,,,,,,,,right_only,D000617,WA-01,1,"DelBene, Suzan",D,1,1,R,"155,779",D,"193,619"
138, Rick,Larsen,"Larsen, Rick",Democratic,Democratic - Washington,Washington,WA,both,L000560,WA-02,1,"Larsen, Rick",D,1,1,R,"117,094",D,"208,314"
106, Jaime,Herrera Beutler,"Herrera Beutler, Jaime",Republican,Republican - Washington,Washington,WA,both,H001056,WA-03,1,"Herrera Beutler, Jaime",R,1,1,D,"119,820",R,"193,457"
168, Dan,Newhouse,"Newhouse, Dan",Republican,Republican - Washington,Washington,WA,both,N000189,WA-04,1,"Newhouse, Dan",R,1,1,R,"97,402",R,"132,517"
155, Cathy,McMorris Rodgers,"McMorris Rodgers, Cathy",Republican,Republican - Washington,Washington,WA,both,M001159,WA-05,1,"McMorris Rodgers, Cathy",R,1,1,D,"130,575",R,"192,959"
128, Derek,Kilmer,"Kilmer, Derek",Democratic,Democratic - Washington,Washington,WA,both,K000381,WA-06,1,"Kilmer, Derek",D,1,1,R,"126,116",D,"201,718"
117, Pramila,Jayapal,"Jayapal, Pramila",Democratic,Democratic - Washington,Washington,WA,both,J000298,WA-07,1,"Jayapal, Pramila",D,1,1,D,"166,744",D,"212,010"
428,,,,,,,,right_only,R000578,WA-08,1,"Reichert, David",R,1,1,D,"127,720",R,"193,145"
216, Adam,Smith,"Smith, Adam",Democratic,Democratic - Washington,Washington,WA,both,S000510,WA-09,1,"Smith, Adam",D,1,1,R,"76,317",D,"205,165"
104, Denny,Heck,"Heck, Denny",Democratic,Democratic - Washington,Washington,WA,both,H001064,WA-10,1,"Heck, Denny",D,1,1,R,"120,104",D,"170,460"
429,,,,,,,,right_only,R000570,WI-01,1,"Ryan, Paul",R,1,1,D,"107,003",R,"230,072"
181, Mark,Pocan,"Pocan, Mark",Democratic,Democratic - Wisconsin,Wisconsin,WI,both,P000607,WI-02,1,"Pocan, Mark",D,1,1,R,"124,044",D,"273,537"
129, Ron,Kind,"Kind, Ron",Democratic,Democratic - Wisconsin,Wisconsin,WI,both,K000188,WI-03,0,"Kind, Ron",D,1,1,Write in,169,D,"257,401"
162, Gwen,Moore,"Moore, Gwen",Democratic,Democratic - Wisconsin,Wisconsin,WI,both,M001160,WI-04,1,"Moore, Gwen",D,1,1,I,"33,494",D,"220,181"
430,,,,,,,,right_only,S000244,WI-05,1,"Sensenbrenner, Jim",R,1,1,D,"114,477",R,"260,706"
99, Glenn,Grothman,"Grothman, Glenn",Republican,Republican - Wisconsin,Wisconsin,WI,both,G000576,WI-06,1,"Grothman, Glenn",R,1,1,D,"133,072",R,"204,147"
431,,,,,,,,right_only,D000614,WI-07,1,"Duffy, Sean",R,1,1,D,"138,643",R,"223,418"
84, Mike,Gallagher,"Gallagher, Mike",Republican,Republican - Wisconsin,Wisconsin,WI,both,G000579,WI-08,1,"Gallagher, Mike",R,1,1,D,"135,682",R,"227,892"
432,,,,,,,,right_only,M001180,WV-01,1,"McKinley, David",R,1,1,D,"73,534",R,"163,469"
433,,,,,,,,right_only,M001195,WV-02,1,"Mooney, Alex",R,1,1,D,"101,207",R,"140,807"
434,,,,,,,,right_only,J000297,WV-03,1,"Jenkins, Evan",R,1,1,D,"49,708",R,"140,741"
42, Liz,Cheney,"Cheney, Liz",Republican,Republican - Wyoming,Wyoming,WY,both,C001109,WY-AL,1,"Cheney, Liz",R,1,1,D,"75,466",R,"156,176"