,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,Clinton2016,Trump2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
0,"Aguilar, Pete",Democratic - California,A000371,Aguilar, Pete,Democratic,California,CA,"Aguilar, Pete",D,1,1,1,"121,070","94,866",D,R,57.7,36.6,57.2,40.6,56.0,41.0
1,"Amash, Justin",Republican - Michigan,A000367,Amash, Justin,Republican,Michigan,MI,"Amash, Justin",R,1,1,1,"203,545","128,400",R,D,42.2,51.6,45.8,53.1,49.7,48.6
2,"Babin, Brian",Republican - Texas,B001291,Babin, Brian,Republican,Texas,TX,"Babin, Brian",R,1,1,1,"193,675","24,890",R,G,25.2,72.0,25.7,73.2,30.0,69.0
3,"Bacon, Don",Republican - Nebraska,B001298,Bacon, Don,Republican,Nebraska,NE,"Bacon, Don",R,1,1,1,"141,066","137,602",R,D,46.0,48.2,45.7,52.9,50.0,48.8
4,"Banks, Jim",Republican - Indiana,B001299,Banks, Jim,Republican,Indiana,IN,"Banks, Jim",R,0,0,0,"201,396","66,023",R,D,30.1,65.1,35.7,62.5,43.0,56.0
5,"Barletta, Lou",Republican - Pennsylvania,B001269,Barletta, Lou,Republican,Pennsylvania,PA,"Barletta, Lou",R,1,1,1,"199,421","113,800",R,D,36.2,60.0,44.5,53.9,47.1,51.7
6,"Barr, Andy",Republican - Kentucky,B001282,Barr, Andy,Republican,Kentucky,KY,"Barr, Andy",R,1,1,1,"202,099","128,728",R,D,39.4,54.7,42.2,55.8,44.8,53.7
7,"Barton, Joe",Republican - Texas,B000213,Barton, Joe,Republican,Texas,TX,"Barton, Joe",R,1,1,1,"159,444","106,667",R,D,41.9,54.2,40.8,57.9,42.0,57.0
8,"Bass, Karen",Democratic - California,B001270,Bass, Karen,Democratic,California,CA,"Bass, Karen",D,1,1,1,"192,490","44,782",D,D,85.7,9.6,84.9,12.7,84.0,13.0
9,"Beatty, Joyce",Democratic - Ohio,B001281,Beatty, Joyce,Democratic,Ohio,OH,"Beatty, Joyce",D,1,1,1,"199,791","91,560",D,R,67.0,28.6,69.7,28.9,67.4,31.3
10,"Becerra, Xavier",Democratic - California,B000287,Becerra, Xavier,Democratic,California,CA,"Becerra, Xavier",D,1,1,1,"122,842","36,314",D,D,83.6,10.7,83.0,14.1,77.0,19.0
11,"Bera, Ami",Democratic - California,B001287,Bera, Ami,Democratic,California,CA,"Bera, Ami",D,1,1,1,"152,133","145,168",D,R,52.3,40.9,50.8,46.8,51.0,46.0
12,"Bergman, Jack",Republican - Michigan,B001301,Bergman, Jack,Republican,Michigan,MI,"Bergman, Jack",R,0,0,0,"197,777","144,334",R,D,36.6,57.9,45.3,53.6,49.7,48.4
13,"Biggs, Andy",Republican - Arizona,B001302,Biggs, Andy,Republican,Arizona,AZ,"Biggs, Andy",R,0,0,0,"205,184","114,940",R,D,36.5,57.6,34.6,63.8,36.3,62.6
14,"Bishop, Mike",Republican - Michigan,B001293,Bishop, Mike,Republican,Michigan,MI,"Bishop, Mike",R,1,1,1,"205,629","143,791",R,D,43.9,50.6,48.0,51.1,52.0,46.4
15,"Bishop, Rob",Republican - Utah,B001250,Bishop, Rob,Republican,Utah,UT,"Bishop, Rob",R,1,1,1,"182,925","73,380",R,D,22.4,49.7,20.4,77.4,29.4,67.7
16,"Black, Diane",Republican - Tennessee,B001273,Black, Diane,Republican,Tennessee,TN,"Black, Diane",R,1,1,1,"202,234","61,995",R,D,23.7,72.6,29.5,69.1,33.5,64.9
17,"Blackburn, Marsha",Republican - Tennessee,B001243,Blackburn, Marsha,Republican,Tennessee,TN,"Blackburn, Marsha",R,1,1,1,"200,407","65,226",R,D,28.2,67.5,32.9,65.7,36.3,62.4
18,"Blum, Rod",Republican - Iowa,B001294,Blum, Rod,Republican,Iowa,IA,"Blum, Rod",R,1,1,1,"206,903","177,403",R,D,45.2,48.7,56.2,42.5,58.5,40.4
19,"Blumenauer, Earl",Democratic - Oregon,B000574,Blumenauer, Earl,Democratic,Oregon,OR,"Blumenauer, Earl",D,1,1,1,"274,687","78,154",D,I,70.7,22.5,72.0,24.7,72.9,24.3
20,"Blunt Rochester, Lisa",Democratic - Delaware,B001303,Blunt Rochester, Lisa,Democratic,Delaware,DE,"Blunt Rochester, Lisa",D,1,1,1,"233,554","172,301",D,R,53.4,41.9,58.6,40.0,61.9,36.9
21,"Bonamici, Suzanne",Democratic - Oregon,B001278,Bonamici, Suzanne,Democratic,Oregon,OR,"Bonamici, Suzanne",D,1,1,1,"225,391","139,756",D,R,57.3,34.5,57.3,40.0,59.6,37.7
22,"Bost, Mike",Republican - Illinois,B001295,Bost, Mike,Republican,Illinois,IL,"Bost, Mike",R,1,1,1,"169,976","124,246",R,D,40.2,55.0,49.7,48.2,54.7,43.6
23,"Brady, Kevin",Republican - Texas,B000755,Brady, Kevin,Republican,Texas,TX,"Brady, Kevin",R,1,1,1,"236,379",0,R,NONE,23.9,72.7,21.7,77.0,26.0,73.0
24,"Brat, Dave",Republican - Virginia,B001290,Brat, Dave,Republican,Virginia,VA,"Brat, Dave",R,1,1,1,"218,057","160,159",R,D,44.0,50.5,44.4,55.6,44.9,54.3
25,"Bridenstine, Jim",Republican - Oklahoma,B001283,Bridenstine, Jim,Republican,Oklahoma,OK,"Bridenstine, Jim",R,1,1,1,,,R,,32.7,61.4,34.2,65.8,35.8,64.2
26,"Brooks, Mo",Republican - Alabama,B001274,Brooks, Mo,Republican,Alabama,AL,"Brooks, Mo",R,1,1,1,"205,647","102,234",R,D,31.3,64.7,34.9,63.9,36.3,62.6
27,"Brownley, Julia",Democratic - California,B001285,Brownley, Julia,Democratic,California,CA,"Brownley, Julia",D,1,1,1,"169,248","111,059",D,R,57.9,36.0,54.0,43.7,56.0,41.0
28,"Buchanan, Vern",Republican - Florida,B001260,Buchanan, Vern,Republican,Florida,FL,"Buchanan, Vern",R,1,1,1,"230,654","155,262",R,D,43.0,53.7,45.1,53.7,47.7,51.2
29,"Buck, Ken",Republican - Colorado,B001297,Buck, Ken,Republican,Colorado,CO,"Buck, Ken",R,1,1,1,"248,230","123,642",R,D,34.3,57.4,39.2,58.5,41.9,56.4
30,"Bucshon, Larry",Republican - Indiana,B001275,Bucshon, Larry,Republican,Indiana,IN,"Bucshon, Larry",R,1,1,1,"187,702","93,356",R,D,30.9,64.6,39.6,58.4,48.1,50.6
31,"Budd, Ted",Republican - North Carolina,B001305,Budd, Ted,Republican,North Carolina,NC,"Budd, Ted",R,1,1,1,"199,443","156,049",R,D,44.0,53.4,46.6,53.4,47.9,51.2
32,"Bustos, Cheri",Democratic - Illinois,B001286,Bustos, Cheri,Democratic,Illinois,IL,"Bustos, Cheri",D,1,1,1,"173,125","113,943",D,R,46.7,47.4,57.6,40.6,60.0,38.5
33,"Byrne, Bradley",Republican - Alabama,B001289,Byrne, Bradley,Republican,Alabama,AL,"Byrne, Bradley",R,1,1,0,"208,083","7,810",R,write in,34.1,63.5,37.4,61.8,38.5,60.9
34,"Calvert, Ken",Republican - California,C000059,Calvert, Ken,Republican,California,CA,"Calvert, Ken",R,1,1,1,"149,547","104,689",R,D,41.4,53.4,41.4,56.5,43.0,54.0
35,"Cardenas, Tony",Democratic - California,C001097,Cardenas, Tony,Democratic,California,CA,"Cardenas, Tony",D,1,1,1,"128,407","43,417",D,D,77.7,16.8,77.0,20.5,74.0,23.0
36,"Carson, Andre",Democratic - Indiana,C001072,Carson, Andre,Democratic,Indiana,IN,"Carson, Andre",D,1,1,1,"158,739","94,456",D,R,59.0,36.2,62.9,35.4,66.3,32.8
37,"Cartwright, Matt",Democratic - Pennsylvania,C001090,Cartwright, Matt,Democratic,Pennsylvania,PA,"Cartwright, Matt",D,1,1,1,"157,734","135,430",D,R,43.3,53.4,55.4,43.3,56.9,41.9
38,"Castor, Kathy",Democratic - Florida,C001066,Castor, Kathy,Democratic,Florida,FL,"Castor, Kathy",D,1,1,1,"195,789","121,088",D,R,57.2,39.0,57.6,41.2,58.1,40.9
39,"Castro, Joaquin",Democratic - Texas,C001091,Castro, Joaquin,Democratic,Texas,TX,"Castro, Joaquin",D,1,1,1,"149,640","29,055",D,L,61.0,34.3,58.9,39.7,58.0,41.0
40,"Chabot, Steve",Republican - Ohio,C000266,Chabot, Steve,Republican,Ohio,OH,"Chabot, Steve",R,1,1,1,"210,014","144,644",R,D,44.6,51.2,46.3,52.4,47.2,51.8
41,"Chaffetz, Jason",Republican - Utah,C001076,Chaffetz, Jason,Republican,Utah,UT,"Chaffetz, Jason",R,1,1,1,"209,589","75,716",R,D,23.3,47.2,19.5,78.3,29.5,67.5
42,"Cheney, Liz",Republican - Wyoming,C001109,Cheney, Liz,Republican,Wyoming,WY,"Cheney, Liz",R,1,1,1,"156,176","75,466",R,D,22.5,70.1,27.6,68.2,32.7,65.2
43,"Chu, Judy",Democratic - California,C001080,Chu, Judy,Democratic,California,CA,"Chu, Judy",D,1,1,1,"168,977","81,655",D,R,66.0,28.4,62.6,35.0,61.0,35.0
44,"Cleaver, Emanuel",Democratic - Missouri,C001061,Cleaver, Emanuel,Democratic,Missouri,MO,"Cleaver, Emanuel",D,1,1,1,"190,766","123,771",D,R,54.1,40.6,58.9,39.4,62.0,36.8
45,"Coffman, Mike",Republican - Colorado,C001077,Coffman, Mike,Republican,Colorado,CO,"Coffman, Mike",R,1,1,1,"191,626","160,372",R,D,50.2,41.3,51.6,46.5,53.6,44.9
46,"Cohen, Steve",Democratic - Tennessee,C001068,Cohen, Steve,Democratic,Tennessee,TN,"Cohen, Steve",D,1,1,1,"171,631","41,123",D,R,77.5,19.8,78.3,20.9,77.0,22.5
47,"Cole, Tom",Republican - Oklahoma,C001053,Cole, Tom,Republican,Oklahoma,OK,"Cole, Tom",R,1,1,1,"204,143","76,472",R,D,28.3,65.7,32.9,67.1,33.9,66.1
48,"Collins, Chris",Republican - New York,C001092,Collins, Chris,Republican,New York,NY,"Collins, Chris",R,1,1,1,"220,885","107,832",R,D,35.2,59.7,42.9,55.3,44.0,54.0
49,"Collins, Doug",Republican - Georgia,C001093,Collins, Doug,Republican,Georgia,GA,"Collins, Doug",R,1,1,0,"256,535",0,R,NONE,19.3,77.8,20.5,78.1,24.3,74.7
50,"Comer, James",Republican - Kentucky,C001108,Comer, James,Republican,Kentucky,KY,"Comer, James",R,1,1,1,"216,959","81,710",R,D,23.9,72.4,32.1,66.4,36.9,61.6
51,"Comstock, Barbara",Republican - Virginia,C001105,Comstock, Barbara,Republican,Virginia,VA,"Comstock, Barbara",R,1,1,1,"210,791","187,712",R,D,52.2,42.2,49.2,50.8,49.6,49.6
52,"Cook, Paul",Republican - California,C001094,Cook, Paul,Republican,California,CA,"Cook, Paul",R,1,1,1,"136,972","83,035",R,D,39.6,54.7,41.7,55.6,42.0,55.0
53,"Cooper, Jim",Democratic - Tennessee,C000754,Cooper, Jim,Democratic,Tennessee,TN,"Cooper, Jim",D,1,1,1,"171,111","102,433",D,R,56.6,38.2,55.9,42.5,57.5,41.3
54,"Costa, Jim",Democratic - California,C001059,Costa, Jim,Democratic,California,CA,"Costa, Jim",D,1,1,1,"97,473","70,483",D,R,58.0,36.4,58.6,39.4,57.0,40.0
55,"Courtney, Joe",Democratic - Connecticut,C001069,Courtney, Joe,Democratic,Connecticut,CT,"Courtney, Joe",D,1,1,1,"208,818","111,149",D,R,48.7,45.8,55.9,42.6,58.6,40.0
56,"Cramer, Kevin",Republican - North Dakota,C001096,Cramer, Kevin,Republican,North Dakota,ND,"Cramer, Kevin",R,1,1,1,"233,980","80,377",R,D,27.7,64.1,38.9,58.7,44.6,53.3
57,"Crist, Charlie",Democratic - Florida,C001111,Crist, Charlie,Democratic,Florida,FL,"Crist, Charlie",R,1,0,1,"184,693","171,149",D,R,49.6,46.4,54.6,43.9,55.5,43.0
58,"Cuellar, Henry",Democratic - Texas,C001063,Cuellar, Henry,Democratic,Texas,TX,"Cuellar, Henry",D,1,1,1,"122,086","57,740",D,R,58.3,38.5,60.3,38.7,58.0,41.0
59,"Curbelo, Carlos",Republican - Florida,C001107,Curbelo, Carlos,Republican,Florida,FL,"Curbelo, Carlos",R,1,1,1,"148,547","115,493",R,D,56.7,40.6,55.4,43.9,51.5,47.9
60,"Davidson, Warren",Republican - Ohio,D000626,Davidson, Warren,Republican,Ohio,OH,"Davidson, Warren",R,1,1,1,"223,833","87,794",R,D,30.6,65.1,36.4,61.9,38.1,60.3
61,"Davis, Rodney",Republican - Illinois,D000619,Davis, Rodney,Republican,Illinois,IL,"Davis, Rodney",R,1,1,1,"187,583","126,811",R,D,44.2,49.7,48.6,48.9,54.6,43.6
62,"DeGette, Diana",Democratic - Colorado,D000197,DeGette, Diana,Democratic,Colorado,CO,"DeGette, Diana",D,1,1,1,"257,254","105,030",D,R,69.0,23.2,69.0,28.8,70.9,27.6
63,"Denham, Jeff",Republican - California,D000612,Denham, Jeff,Republican,California,CA,"Denham, Jeff",R,1,1,1,"124,671","116,470",R,D,48.5,45.5,50.6,47.0,50.0,47.0
64,"DeSantis, Ron",Republican - Florida,D000621,DeSantis, Ron,Republican,Florida,FL,"DeSantis, Ron",R,1,1,1,"213,519","151,051",R,D,39.9,56.9,46.6,52.2,50.1,48.7
65,"DeSaulnier, Mark",Democratic - California,D000623,DeSaulnier, Mark,Democratic,California,CA,"DeSaulnier, Mark",D,1,1,1,"214,868","83,341",D,R,71.5,22.7,67.6,30.0,69.0,28.0
66,"DesJarlais, Scott",Republican - Tennessee,D000616,DesJarlais, Scott,Republican,Tennessee,TN,"DesJarlais, Scott",R,1,1,1,"165,796","89,141",R,D,27.4,68.6,33.1,65.3,35.8,62.6
67,"Diaz-Balart, Mario",Republican - Florida,D000600,Diaz-Balart, Mario,Republican,Florida,FL,"Diaz-Balart, Mario",R,1,1,1,"157,921","95,319",R,D,47.9,49.6,44.9,54.5,40.6,58.8
68,"Dingell, Debbie",Democratic - Michigan,D000624,Dingell, Debbie,Democratic,Michigan,MI,"Dingell, Debbie",D,1,1,1,"211,378","96,104",D,R,60.8,34.5,66.2,32.8,66.9,31.4
69,"Doggett, Lloyd",Democratic - Texas,D000399,Doggett, Lloyd,Democratic,Texas,TX,"Doggett, Lloyd",D,1,1,1,"124,612","62,384",D,R,64.1,30.5,63.0,34.6,63.0,35.0
70,"Duncan, Jeff",Republican - South Carolina,D000615,Duncan, Jeff,Republican,South Carolina,SC,"Duncan, Jeff",R,1,1,1,"196,325","72,933",R,D,29.0,67.0,33.9,64.5,35.1,63.5
71,"Ellison, Keith",Democratic - Minnesota,E000288,Ellison, Keith,Democratic,Minnesota,MN,"Ellison, Keith",D,1,1,1,"249,964","80,660",D,R,73.7,18.5,73.5,24.0,73.4,24.5
72,"Emmer, Tom",Republican - Minnesota,E000294,Emmer, Tom,Republican,Minnesota,MN,"Emmer, Tom",R,1,1,1,"235,380","123,008",R,D,33.2,58.9,41.5,56.5,43.2,54.7
73,"Espaillat, Adriano",Democratic - New York,E000297,Espaillat, Adriano,Democratic,New York,NY,"Espaillat, Adriano",D,1,1,1,"207,194","16,089",D,R,92.3,5.4,94.6,4.6,93.0,6.0
74,"Evans, Dwight",Democratic - Pennsylvania,E000296,Evans, Dwight,Democratic,Pennsylvania,PA,"Evans, Dwight",D,0,0,0,"322,514","35,131",D,R,90.4,7.6,90.4,9.0,91.0,8.8
75,"Farenthold, Blake",Republican - Texas,F000460,Farenthold, Blake,Republican,Texas,TX,"Farenthold, Blake",R,1,1,1,"142,251","88,329",R,D,36.5,60.1,38.2,60.5,40.0,59.0
76,"Flores, Bill",Republican - Texas,F000461,Flores, Bill,Republican,Texas,TX,"Flores, Bill",R,1,1,1,"149,417","86,603",R,D,38.8,56.3,37.7,60.4,41.0,58.0
77,"Fortenberry, Jeff",Republican - Nebraska,F000449,Fortenberry, Jeff,Republican,Nebraska,NE,"Fortenberry, Jeff",R,1,1,1,"189,771","83,467",R,D,36.2,57.5,40.8,57.4,44.2,54.3
78,"Foster, Bill",Democratic - Illinois,F000454,Foster, Bill,Democratic,Illinois,IL,"Foster, Bill",D,1,1,1,"166,578","108,995",D,R,58.9,35.4,57.8,40.6,61.3,37.5
79,"Foxx, Virginia",Republican - North Carolina,F000450,Foxx, Virginia,Republican,North Carolina,NC,"Foxx, Virginia",R,1,1,1,"207,625","147,887",R,D,39.8,57.4,42.8,57.2,44.6,54.2
80,"Frankel, Lois",Democratic - Florida,F000462,Frankel, Lois,Democratic,Florida,FL,"Frankel, Lois",D,1,1,1,"210,606","118,038",D,R,58.6,39.1,60.4,38.9,63.4,35.9
81,"Franks, Trent",Republican - Arizona,F000448,Franks, Trent,Republican,Arizona,AZ,"Franks, Trent",R,1,1,1,"204,942","93,954",R,G,37.0,58.1,36.9,61.7,38.4,60.6
82,"Gabbard, Tulsi",Democratic - Hawaii,G000571,Gabbard, Tulsi,Democratic,Hawaii,HI,"Gabbard, Tulsi",D,1,1,1,"170,848","39,668",D,R,61.4,29.6,71.4,26.7,73.4,24.9
83,"Gaetz, Matt",Republican - Florida,G000578,Gaetz, Matt,Republican,Florida,FL,"Gaetz, Matt",R,0,0,0,"255,107","114,079",D,R,28.2,67.5,30.1,68.5,32.0,66.8
84,"Gallagher, Mike",Republican - Wisconsin,G000579,Gallagher, Mike,Republican,Wisconsin,WI,"Gallagher, Mike",R,1,1,1,"227,892","135,682",R,D,38.6,56.2,47.6,51.3,53.7,45.0
85,"Gallego, Ruben",Democratic - Arizona,G000574,Gallego, Ruben,Democratic,Arizona,AZ,"Gallego, Ruben",D,1,1,1,"119,465","39,286",D,R,71.8,22.6,71.7,26.5,64.7,34.1
86,"Garamendi, John",Democratic - California,G000559,Garamendi, John,Democratic,California,CA,"Garamendi, John",D,1,1,1,"152,513","104,453",D,R,53.0,40.4,54.3,43.1,55.0,42.0
87,"Gibbs, Bob",Republican - Ohio,G000563,Gibbs, Bob,Republican,Ohio,OH,"Gibbs, Bob",R,1,1,1,"198,221","89,638",R,D,32.8,62.5,44.2,53.7,46.9,50.9
88,"Gohmert, Louie",Republican - Texas,G000552,Gohmert, Louie,Republican,Texas,TX,"Gohmert, Louie",R,1,1,1,"192,434","62,847",R,D,25.3,72.2,27.5,71.6,30.0,69.0
89,"Gonzalez, Vicente",Democratic - Texas,G000581,Gonzalez, Vicente,Democratic,Texas,TX,"Gonzalez, Vicente",D,1,1,1,"101,712","66,877",D,R,56.7,40.0,57.4,41.5,57.0,42.0
90,"Goodlatte, Bob",Republican - Virginia,G000289,Goodlatte, Bob,Republican,Virginia,VA,"Goodlatte, Bob",R,1,1,1,"225,471","112,170",R,D,34.9,59.7,39.9,60.1,41.2,57.7
91,"Gottheimer, Josh",Democratic - New Jersey,G000583,Gottheimer, Josh,Democratic,New Jersey,NJ,"Gottheimer, Josh",D,1,1,1,"172,587","157,690",D,R,47.7,48.8,47.9,51.0,48.5,50.5
92,"Gowdy, Trey",Republican - South Carolina,G000566,Gowdy, Trey,Republican,South Carolina,SC,"Gowdy, Trey",R,1,1,1,"198,648","91,676",R,D,34.5,60.2,36.2,62.2,37.7,60.6
93,"Granger, Kay",Republican - Texas,G000377,Granger, Kay,Republican,Texas,TX,"Granger, Kay",R,1,1,1,"196,482","76,029",R,D,32.7,62.9,31.7,66.8,35.0,64.0
94,"Graves, Garret",Republican - Louisiana,G000577,Graves, Garret,Republican,Louisiana,LA,"Graves, Garret",R,1,1,1,"207,483","49,380",R,D,31.0,64.8,32.0,66.1,30.9,67.5
95,"Graves, Sam",Republican - Missouri,G000546,Graves, Sam,Republican,Missouri,MO,"Graves, Sam",R,1,1,1,"238,388","99,692",R,D,31.7,63.1,37.9,60.0,43.1,55.3
96,"Graves, Tom",Republican - Georgia,G000560,Graves, Tom,Republican,Georgia,GA,"Graves, Tom",R,1,1,1,"216,743",0,R,NONE,22.1,75.0,25.3,73.2,27.8,71.0
97,"Green, Al",Democratic - Texas,G000553,Green, Al,Democratic,Texas,TX,"Green, Al",D,1,1,1,"152,032","36,491",D,R,79.3,18.0,78.0,21.1,76.0,23.0
98,"Green, Gene",Democratic - Texas,G000410,Green, Gene,Democratic,Texas,TX,"Green, Gene",D,1,1,1,"95,649","31,646",D,R,71.1,25.4,65.9,33.0,62.0,37.0
99,"Grothman, Glenn",Republican - Wisconsin,G000576,Grothman, Glenn,Republican,Wisconsin,WI,"Grothman, Glenn",R,1,1,1,"204,147","133,072",R,D,38.8,55.7,45.8,53.1,49.4,49.3
100,"Guthrie, Brett",Republican - Kentucky,G000558,Guthrie, Brett,Republican,Kentucky,KY,"Guthrie, Brett",R,1,1,0,"251,825",0,R,NONE,27.6,67.5,35.1,63.3,37.2,61.5
101,"Hanabusa, Colleen",Democratic - Hawaii,H001050,Hanabusa, Colleen,Democratic,Hawaii,HI,"Hanabusa, Colleen",D,0,0,0,"145,417","45,958",D,R,63.1,30.5,69.7,29.0,70.3,28.3
102,"Harper, Gregg",Republican - Mississippi,H001045,Harper, Gregg,Republican,Mississippi,MS,"Harper, Gregg",R,1,1,1,"209,490","96,101",R,D,36.8,61.3,39.1,60.0,38.4,60.8
103,"Harris, Andy",Republican - Maryland,H001052,Harris, Andy,Republican,Maryland,MD,"Harris, Andy",R,1,1,1,"242,574","103,622",R,D,33.4,62.0,37.7,60.4,38.4,59.6
104,"Heck, Denny",Democratic - Washington,H001064,Heck, Denny,Democratic,Washington,WA,"Heck, Denny",D,1,1,1,"170,460","120,104",D,R,51.3,39.9,56.3,41.1,57.2,41.0
105,"Hensarling, Jeb",Republican - Texas,H001036,Hensarling, Jeb,Republican,Texas,TX,"Hensarling, Jeb",R,1,1,1,"155,469","37,406",R,L,34.3,62.7,34.4,64.5,37.0,62.0
106,"Herrera Beutler, Jaime",Republican - Washington,H001056,Herrera Beutler, Jaime,Republican,Washington,WA,"Herrera Beutler, Jaime",R,1,1,1,"193,457","119,820",R,D,42.5,49.9,47.9,49.6,50.9,47.1
107,"Higgins, Brian",Democratic - New York,H001038,Higgins, Brian,Democratic,New York,NY,"Higgins, Brian",D,1,1,1,"215,289","73,377",D,R,57.6,38.0,63.9,34.3,63.0,35.0
108,"Higgins, Clay",Republican - Louisiana,H001077,Higgins, Clay,Republican,Louisiana,LA,"Higgins, Clay",R,0,0,0,"91,532","84,912",R,R,29.2,67.3,32.3,66.1,34.1,64.2
109,"Holding, George",Republican - North Carolina,H001065,Holding, George,Republican,North Carolina,NC,"Holding, George",R,1,1,1,"221,485","169,082",R,D,43.6,53.2,43.5,56.5,44.8,54.3
110,"Hollingsworth, Trey",Republican - Indiana,H001074,Hollingsworth, Trey,Republican,Indiana,IN,"Hollingsworth, Trey",R,1,1,1,"174,791","130,627",R,D,34.2,61.1,40.7,57.2,46.2,52.7
111,"Hudson, Richard",Republican - North Carolina,H001067,Hudson, Richard,Republican,North Carolina,NC,"Hudson, Richard",R,1,1,1,"189,863","133,182",R,D,41.1,56.1,44.8,55.2,45.3,53.9
112,"Huffman, Jared",Democratic - California,H001068,Huffman, Jared,Democratic,California,CA,"Huffman, Jared",D,1,1,1,"254,194","76,572",D,R,69.0,23.3,69.0,27.0,71.0,25.0
113,"Huizenga, Bill",Republican - Michigan,H001058,Huizenga, Bill,Republican,Michigan,MI,"Huizenga, Bill",R,1,1,1,"212,508","110,391",R,D,38.2,55.8,43.1,56.0,48.0,50.3
114,"Hultgren, Randy",Republican - Illinois,H001059,Hultgren, Randy,Republican,Illinois,IL,"Hultgren, Randy",R,1,1,1,"200,508","137,589",R,D,44.8,48.7,44.2,54.2,50.7,48.0
115,"Hunter, Duncan",Republican - California,H000981,Hunter, Duncan,Republican,California,CA,"Hunter, Duncan",R,1,1,1,"179,937","103,646",R,D,39.6,54.6,37.6,60.4,39.0,58.0
116,"Hurd, Will",Republican - Texas,H001073,Hurd, Will,Republican,Texas,TX,"Hurd, Will",R,1,1,1,"110,577","107,526",R,D,49.8,46.4,48.1,50.7,50.0,49.0
117,"Jayapal, Pramila",Democratic - Washington,J000298,Jayapal, Pramila,Democratic,Washington,WA,"Jayapal, Pramila",D,1,1,1,"212,010","166,744",D,D,82.1,12.2,79.2,18.1,80.4,18.0
118,"Jenkins, Lynn",Republican - Kansas,J000290,Jenkins, Lynn,Republican,Kansas,KS,"Jenkins, Lynn",R,1,1,1,"181,228","96,840",R,D,37.4,55.8,42.0,55.6,45.3,52.8
119,"Johnson, Bill",Republican - Ohio,J000292,Johnson, Bill,Republican,Ohio,OH,"Johnson, Bill",R,1,1,1,"213,975","88,780",R,D,26.7,69.3,42.7,55.2,44.7,53.1
120,"Johnson, Mike",Republican - Louisiana,J000299,Johnson, Mike,Republican,Louisiana,LA,"Johnson, Mike",R,0,0,0,"80,593","70,580",D,R,36.6,60.6,39.7,59.0,39.9,58.9
121,"Johnson, Sam",Republican - Texas,J000174,Johnson, Sam,Republican,Texas,TX,"Johnson, Sam",R,1,1,1,"193,684","109,420",R,D,40.6,54.8,34.2,64.3,37.0,61.0
122,"Jordan, Jim",Republican - Ohio,J000289,Jordan, Jim,Republican,Ohio,OH,"Jordan, Jim",R,1,1,1,"210,227","98,981",R,D,30.7,64.3,42.0,56.0,43.7,54.4
123,"Kaptur, Marcy",Democratic - Ohio,K000009,Kaptur, Marcy,Democratic,Ohio,OH,"Kaptur, Marcy",D,1,1,1,"193,966","88,427",D,R,58.7,36.5,67.6,30.9,66.8,31.6
124,"Katko, John",Republican - New York,K000386,Katko, John,Republican,New York,NY,"Katko, John",R,1,1,1,"182,761","119,040",R,D,48.9,45.3,57.0,41.1,56.0,42.0
125,"Kelly, Mike",Republican - Pennsylvania,K000376,Kelly, Mike,Republican,Pennsylvania,PA,"Kelly, Mike",R,1,1,0,"271,098","244,893",R,NONE,35.0,61.1,43.0,55.6,46.3,52.3
126,"Kelly, Trent",Republican - Mississippi,K000388,Kelly, Trent,Republican,Mississippi,MS,"Kelly, Trent",R,1,1,1,"206,455","83,947",R,D,32.4,65.4,37.0,61.9,36.6,62.4
127,"Khanna, Ro",Democratic - California,K000389,Khanna, Ro,Democratic,California,CA,"Khanna, Ro",D,1,0,1,"142,268","90,924",D,D,73.9,20.5,71.9,25.5,69.0,28.0
