,id.bioguide,handle,state,district,type,party,name.last,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,margin
0,A000055,robert_aderholt,AL,4.0,rep,Republican,Aderholt,"Aderholt, Rob",R,1,1,0,235925.0,3519.0,R,write in,0.970606905999
1,A000367,,MI,3.0,rep,Republican,Amash,"Amash, Justin",R,1,1,1,203545.0,128400.0,R,D,0.226377863803
2,B001269,reploubarletta,PA,11.0,rep,Republican,Barletta,"Barletta, Lou",R,1,1,1,199421.0,113800.0,R,D,0.273356511856
3,B000213,repjoebarton,TX,6.0,rep,Republican,Barton,"Barton, Joe",R,1,1,1,159444.0,106667.0,R,D,0.198327013915
4,B001270,repkarenbass,CA,37.0,rep,Democrat,Bass,"Bass, Karen",D,1,1,1,192490.0,44782.0,D,D,0.622526046057
5,B000287,repbecerra,CA,34.0,rep,Democrat,Becerra,"Becerra, Xavier",D,1,1,1,122842.0,36314.0,D,D,0.543667847898
6,B001271,congressmandan,MI,1.0,rep,Republican,Benishek,"Bergman, Jack",R,0,0,0,197777.0,144334.0,R,D,0.156215380388
7,B001257,repgusbilirakis,FL,12.0,rep,Republican,Bilirakis,"Bilirakis, Gus",R,1,1,1,253559.0,116110.0,R,D,0.371816408733
8,B001250,reprobbishop,UT,1.0,rep,Republican,Bishop,"Bishop, Rob",R,1,1,1,182925.0,73380.0,R,D,0.427400948089
9,B000490,sanfordbishop,GA,2.0,rep,Democrat,Bishop,"Bishop, Sanford",D,1,1,1,148543.0,94056.0,D,R,0.22459696866
10,B001273,repdianeblack,TN,6.0,rep,Republican,Black,"Black, Diane",R,1,1,1,202234.0,61995.0,R,D,0.530747949695
11,B001243,marshablackburn,TN,7.0,rep,Republican,Blackburn,"Blackburn, Marsha",R,1,1,1,200407.0,65226.0,R,D,0.50890137897
12,B000574,blumenauermedia,OR,3.0,rep,Democrat,Blumenauer,"Blumenauer, Earl",D,1,1,1,274687.0,78154.0,D,I,0.55700159562
13,B001255,repboustany,LA,3.0,rep,Republican,Boustany,"Higgins, Clay",R,0,0,0,91532.0,84912.0,R,R,0.0375189861939
14,B000755,repkevinbrady,TX,8.0,rep,Republican,Brady,"Brady, Kevin",R,1,1,1,236379.0,0.0,R,NONE,1.0
15,B001227,repbrady,PA,1.0,rep,Democrat,Brady,"Brady, Bob",D,1,1,1,245791.0,53219.0,D,R,0.644031972175
16,B001274,repmobrooks,AL,5.0,rep,Republican,Brooks,"Brooks, Mo",R,1,1,1,205647.0,102234.0,R,D,0.335886267746
17,B000911,repcorrinebrown,FL,5.0,rep,Democrat,Brown,"Lawson, Al",D,1,1,1,194549.0,108325.0,D,R,0.28468604106
18,B001260,vernbuchanan,FL,16.0,rep,Republican,Buchanan,"Buchanan, Vern",R,1,1,1,230654.0,155262.0,R,D,0.195358575441
19,B001275,replarrybucshon,IN,8.0,rep,Republican,Bucshon,"Bucshon, Larry",R,1,1,1,187702.0,93356.0,R,D,0.335681603085
20,B001248,michaelcburgess,TX,26.0,rep,Republican,Burgess,"Burgess, Michael",R,1,1,1,211730.0,94507.0,R,D,0.382785228434
21,B001251,gkbutterfield,NC,1.0,rep,Democrat,Butterfield,"Butterfield, G.K.",D,1,1,1,240661.0,101567.0,D,R,0.406436644576
22,C000059,kencalvert,CA,42.0,rep,Republican,Calvert,"Calvert, Ken",R,1,1,1,149547.0,104689.0,R,D,0.176442360641
23,C001036,reploiscapps,CA,24.0,rep,Democrat,Capps,"Carbajal, Salud",D,0,0,0,166034.0,144780.0,D,D,0.0683817331266
24,C001037,repmikecapuano,MA,7.0,rep,Democrat,Capuano,"Capuano, Mike",D,1,1,1,253354.0,3557.0,D,Write in,0.972309476823
25,C001083,johncarneyde,DE,0.0,rep,Democrat,Carney,"Blunt Rochester, Lisa",D,1,1,1,233554.0,172301.0,D,R,0.150923359328
26,C001072,repandrecarson,IN,7.0,rep,Democrat,Carson,"Carson, Andre",D,1,1,1,158739.0,94456.0,D,R,0.25388732005
27,C001051,judgecarter,TX,31.0,rep,Republican,Carter,"Carter, John",R,1,1,1,166060.0,103852.0,R,D,0.230475117816
28,C001066,usrepkcastor,FL,14.0,rep,Democrat,Castor,"Castor, Kathy",D,1,1,1,195789.0,121088.0,D,R,0.235741312875
29,C000266,repstevechabot,OH,1.0,rep,Republican,Chabot,"Chabot, Steve",R,1,1,1,210014.0,144644.0,R,D,0.184318413796
30,C001076,jasoninthehouse,UT,3.0,rep,Republican,Chaffetz,"Chaffetz, Jason",R,1,1,1,209589.0,75716.0,R,D,0.469227668635
31,C001080,repjudychu,CA,27.0,rep,Democrat,Chu,"Chu, Judy",D,1,1,1,168977.0,81655.0,D,R,0.348407226531
32,C001084,repcicilline,RI,1.0,rep,Democrat,Cicilline,"Cicilline, David",D,1,1,1,130534.0,71023.0,D,R,0.295256428703
33,C001067,yvetteclarke,NY,9.0,rep,Democrat,Clarke,"Clarke, Yvette",D,1,1,1,214189.0,17576.0,D,C,0.848329126486
34,C001049,,MO,1.0,rep,Democrat,Clay,"Clay, Lacy",D,1,1,1,236993.0,62714.0,D,R,0.581497929645
35,C001061,repcleaver,MO,5.0,rep,Democrat,Cleaver,"Cleaver, Emanuel",D,1,1,1,190766.0,123771.0,D,R,0.21299560942
36,C000537,clyburn,SC,6.0,rep,Democrat,Clyburn,"Clyburn, Jim",D,1,1,1,177947.0,70099.0,D,R,0.43479032115
37,C001077,repmikecoffman,CO,6.0,rep,Republican,Coffman,"Coffman, Mike",R,1,1,1,191626.0,160372.0,R,D,0.0887902772175
38,C001068,repcohen,TN,9.0,rep,Democrat,Cohen,"Cohen, Steve",D,1,1,1,171631.0,41123.0,D,R,0.613422074321
39,C001053,tomcoleok04,OK,4.0,rep,Republican,Cole,"Cole, Tom",R,1,1,1,204143.0,76472.0,R,D,0.454968551218
40,C001062,conawaytx11,TX,11.0,rep,Republican,Conaway,"Conaway, Michael",R,1,1,1,201871.0,23677.0,R,L,0.790049124798
41,C001078,gerryconnolly,VA,11.0,rep,Democrat,Connolly,"Connolly, Gerry",D,1,1,0,247818.0,34185.0,D,Write in,0.757555770683
42,C000714,repjohnconyers,MI,13.0,rep,Democrat,Conyers,"Conyers, John",D,1,1,1,198771.0,40541.0,D,R,0.6611870696
43,C000754,repjimcooper,TN,5.0,rep,Democrat,Cooper,"Cooper, Jim",D,1,1,1,171111.0,102433.0,D,R,0.25106746995
44,C001059,repjimcosta,CA,16.0,rep,Democrat,Costa,"Costa, Jim",D,1,1,1,97473.0,70483.0,D,R,0.160696849175
45,C001069,repjoecourtney,CT,2.0,rep,Democrat,Courtney,"Courtney, Joe",D,1,1,1,208818.0,111149.0,D,R,0.305247103608
46,C001087,reprickcrawford,AR,1.0,rep,Republican,Crawford,"Crawford, Rick",R,1,1,1,183866.0,57181.0,R,L,0.525561405037
47,C001045,andercrenshaw,FL,4.0,rep,Republican,Crenshaw,"Rutherford, John",R,1,1,1,287509.0,113088.0,R,D,0.435402661528
48,C001038,repjoecrowley,NY,14.0,rep,Democrat,Crowley,"Crowley, Joe",D,1,1,1,147587.0,30545.0,D,R,0.657052073743
49,C001063,repcuellar,TX,28.0,rep,Democrat,Cuellar,"Cuellar, Henry",D,1,1,1,122086.0,57740.0,D,R,0.357823673996
50,C001048,congculberson,TX,7.0,rep,Republican,Culberson,"Culberson, John",R,1,1,1,143542.0,111991.0,R,D,0.12347133247
51,C000984,repcummings,MD,7.0,rep,Democrat,Cummings,"Cummings, Elijah",D,1,1,1,238838.0,69556.0,D,R,0.548914700027
52,D000096,repdannydavis,IL,7.0,rep,Democrat,Davis,"Davis, Danny",D,1,1,1,250584.0,46882.0,D,R,0.684790866855
53,D000598,repsusandavis,CA,53.0,rep,Democrat,Davis,"Davis, Susan",D,1,1,1,198988.0,97968.0,D,R,0.340185077924
54,D000191,reppeterdefazio,OR,4.0,rep,Democrat,DeFazio,"DeFazio, Peter",D,1,1,1,220628.0,157743.0,D,R,0.166199312315
55,D000197,repdianadegette,CO,1.0,rep,Democrat,DeGette,"DeGette, Diana",D,1,1,1,257254.0,105030.0,D,R,0.420178644378
56,D000216,rosadelauro,CT,3.0,rep,Democrat,DeLauro,"DeLauro, Rosa",D,1,1,1,213572.0,95786.0,D,R,0.380743345897
57,D000612,repjeffdenham,CA,10.0,rep,Republican,Denham,"Denham, Jeff",R,1,1,1,124671.0,116470.0,R,D,0.0340091481747
58,D000604,,PA,15.0,rep,Republican,Dent,"Dent, Charlie",R,1,1,1,190618.0,124129.0,R,D,0.211245857784
59,D000616,desjarlaistn04,TN,4.0,rep,Republican,DesJarlais,"DesJarlais, Scott",R,1,1,1,165796.0,89141.0,R,D,0.30068212931
60,D000610,repteddeutch,FL,21.0,rep,Democrat,Deutch,"Frankel, Lois",D,1,1,1,210606.0,118038.0,D,R,0.281666484098
61,D000600,mariodb,FL,25.0,rep,Republican,Diaz-Balart,"Diaz-Balart, Mario",R,1,1,1,157921.0,95319.0,R,D,0.247204233139
62,D000399,replloyddoggett,TX,35.0,rep,Democrat,Doggett,"Doggett, Lloyd",D,1,1,1,124612.0,62384.0,D,R,0.332777171704
63,D000482,usrepmikedoyle,PA,14.0,rep,Democrat,Doyle,"Doyle, Michael",D,1,1,1,255293.0,87999.0,D,R,0.487322745651
64,D000614,repseanduffy,WI,7.0,rep,Republican,Duffy,"Duffy, Sean",R,1,1,1,223418.0,138643.0,R,D,0.234145627394
65,D000615,repjeffduncan,SC,3.0,rep,Republican,Duncan,"Duncan, Jeff",R,1,1,1,196325.0,72933.0,R,D,0.458266792444
66,D000533,repjohnduncanjr,TN,2.0,rep,Republican,Duncan,"Duncan, John",R,1,1,1,212455.0,68401.0,R,D,0.512910530663
67,E000290,repdonnaedwards,MD,4.0,rep,Democrat,Edwards,"Brown, Anthony",D,0,0,0,237501.0,68670.0,D,R,0.551427143655
68,E000288,keithellison,MN,5.0,rep,Democrat,Ellison,"Ellison, Keith",D,1,1,1,249964.0,80660.0,D,R,0.512074138599
69,E000291,repreneeellmers,NC,2.0,rep,Republican,Ellmers,"Holding, George",R,1,1,1,221485.0,169082.0,R,D,0.134171601799
70,E000179,repeliotengel,NY,16.0,rep,Democrat,Engel,"Engel, Eliot",D,1,1,1,209857.0,11825.0,D,PC,0.893315650346
71,E000215,repannaeshoo,CA,18.0,rep,Democrat,Eshoo,"Eshoo, Anna",D,1,1,1,230460.0,93470.0,D,R,0.422900009261
72,F000460,farenthold,TX,27.0,rep,Republican,Farenthold,"Farenthold, Blake",R,1,1,1,142251.0,88329.0,R,D,0.233853760083
73,F000030,repsamfarr,CA,20.0,rep,Democrat,Farr,"Panetta, Jimmy",D,0,0,0,180980.0,74811.0,D,R,0.415061515065
74,F000458,repfinchertn08,TN,8.0,rep,Republican,Fincher,"Kustoff, David",R,0,0,0,194386.0,70925.0,R,D,0.465344444821
75,F000451,repfitzpatrick,PA,8.0,rep,Republican,Fitzpatrick,"Fitzpatrick, Brian",R,1,1,1,207263.0,173555.0,R,D,0.0885147235687
76,F000459,repchuck,TN,3.0,rep,Republican,Fleischmann,"Fleischmann, Chuck",R,1,1,1,176613.0,76727.0,R,D,0.394276466409
77,F000456,repfleming,LA,4.0,rep,Republican,Fleming,"Johnson, Mike",R,0,0,0,80593.0,70580.0,D,R,0.0662353727187
78,F000461,repbillflores,TX,17.0,rep,Republican,Flores,"Flores, Bill",R,1,1,1,149417.0,86603.0,R,D,0.266138462842
79,F000445,randy_forbes,VA,4.0,rep,Republican,Forbes,"McEachin, Donald",R,0,0,0,200136.0,145731.0,D,R,0.157300349556
80,F000449,jefffortenberry,NE,1.0,rep,Republican,Fortenberry,"Fortenberry, Jeff",R,1,1,1,189771.0,83467.0,R,D,0.389052767185
81,F000450,virginiafoxx,NC,5.0,rep,Republican,Foxx,"Foxx, Virginia",R,1,1,1,207625.0,147887.0,R,D,0.168033709129
82,F000448,reptrentfranks,AZ,8.0,rep,Republican,Franks,"Franks, Trent",R,1,1,1,204942.0,93954.0,R,G,0.371326481452
83,F000372,usreprodney,NJ,11.0,rep,Republican,Frelinghuysen,"Frelinghuysen, Rodney",D,1,1,1,194299.0,130162.0,D,R,0.197672447536
84,F000455,repmarciafudge,OH,11.0,rep,Democrat,Fudge,"Fudge, Marcia",D,1,1,1,242917.0,59769.0,D,R,0.605075887223
85,G000559,repgaramendi,CA,3.0,rep,Democrat,Garamendi,"Garamendi, John",D,1,1,1,152513.0,104453.0,D,R,0.187028634138
86,G000548,repgarrett,NJ,5.0,rep,Republican,Garrett,"Gottheimer, Josh",D,1,1,1,172587.0,157690.0,D,R,0.045104563745
87,G000563,repbobgibbs,OH,7.0,rep,Republican,Gibbs,"Gibbs, Bob",R,1,1,1,198221.0,89638.0,R,D,0.377208980786
88,G000564,repchrisgibson,NY,19.0,rep,Republican,Gibson,"Faso, John",R,0,0,0,166171.0,141224.0,R,D,0.0811561671465
89,G000552,replouiegohmert,TX,1.0,rep,Republican,Gohmert,"Gohmert, Louie",R,1,1,1,192434.0,62847.0,R,D,0.507624930958
90,G000289,repgoodlatte,VA,6.0,rep,Republican,Goodlatte,"Goodlatte, Bob",R,1,1,1,225471.0,112170.0,R,D,0.335566474451
91,G000565,repgosar,AZ,4.0,rep,Republican,Gosar,"Gosar, Paul",R,1,1,1,203487.0,81296.0,R,D,0.42906704403
92,G000566,tgowdysc,SC,4.0,rep,Republican,Gowdy,"Gowdy, Trey",R,1,1,1,198648.0,91676.0,R,D,0.368457309764
93,G000377,repkaygranger,TX,12.0,rep,Republican,Granger,"Granger, Kay",R,1,1,1,196482.0,76029.0,R,D,0.442011515131
94,G000546,repsamgraves,MO,6.0,rep,Republican,Graves,"Graves, Sam",R,1,1,1,238388.0,99692.0,R,D,0.410246095599
95,G000560,reptomgraves,GA,14.0,rep,Republican,Graves,"Graves, Tom",R,1,1,1,216743.0,0.0,R,NONE,1.0
96,G000553,repalgreen,TX,9.0,rep,Democrat,Green,"Green, Al",D,1,1,1,152032.0,36491.0,D,R,0.61287482164
97,G000410,repgenegreen,TX,29.0,rep,Democrat,Green,"Green, Gene",D,1,1,1,95649.0,31646.0,D,R,0.502792725559
98,G000568,repmgriffith,VA,9.0,rep,Republican,Griffith,"Griffith, Morgan",R,1,1,1,212838.0,87877.0,R,D,0.415546281363
99,G000551,repraulgrijalva,AZ,3.0,rep,Democrat,Grijalva,"Grijalva, Raul",D,1,1,0,148973.0,2062.0,D,write in,0.972695070679
100,G000558,repguthrie,KY,2.0,rep,Republican,Guthrie,"Guthrie, Brett",R,1,1,0,251825.0,0.0,R,NONE,1.0
101,G000535,luisgutierrez,IL,4.0,rep,Democrat,Gutiérrez,"Gutierrez, Luis",D,1,1,0,171297.0,0.0,D,NONE,1.0
102,H001051,reprichardhanna,NY,22.0,rep,Republican,Hanna,"Tenney, Claudia",R,0,0,0,129444.0,114266.0,R,D,0.0622789380821
103,H001045,greggharper,MS,3.0,rep,Republican,Harper,"Harper, Gregg",R,1,1,1,209490.0,96101.0,R,D,0.371048231132
104,H001052,repandyharrismd,MD,1.0,rep,Republican,Harris,"Harris, Andy",R,1,1,1,242574.0,103622.0,R,D,0.401368011184
105,H001053,rephartzler,MO,4.0,rep,Republican,Hartzler,"Hartzler, Vicki",R,1,1,1,225348.0,92510.0,R,D,0.417916176406
106,H000324,rephastingsfl,FL,20.0,rep,Democrat,Hastings,"Hastings, Alcee",D,1,1,1,222914.0,54646.0,D,R,0.606240092232
107,H001055,repjoeheck,NV,3.0,rep,Republican,Heck,"Rosen, Jacky",D,1,1,1,146869.0,142926.0,D,R,0.0136061698787
108,H001036,rephensarling,TX,5.0,rep,Republican,Hensarling,"Hensarling, Jeb",R,1,1,1,155469.0,37406.0,R,L,0.61212184057
109,H001056,herrerabeutler,WA,3.0,rep,Republican,Herrera Beutler,"Herrera Beutler, Jaime",R,1,1,1,193457.0,119820.0,R,D,0.235053961829
110,H001038,repbrianhiggins,NY,26.0,rep,Democrat,Higgins,"Higgins, Brian",D,1,1,1,215289.0,73377.0,D,R,0.491613144603
111,H001047,jahimes,CT,4.0,rep,Democrat,Himes,"Himes, Jim",D,1,1,1,187811.0,125724.0,D,R,0.198022549317
112,H000636,usreprhinojosa,TX,15.0,rep,Democrat,Hinojosa,"Gonzalez, Vicente",D,1,1,1,101712.0,66877.0,D,R,0.206626766871
113,H001034,repmikehonda,CA,17.0,rep,Democrat,Honda,"Khanna, Ro",D,1,0,1,142268.0,90924.0,D,D,0.2201790799
114,H000874,whiphoyer,MD,5.0,rep,Democrat,Hoyer,"Hoyer, Steny",D,1,1,1,242989.0,105931.0,D,R,0.392806373954
115,H001057,conghuelskamp,KS,1.0,rep,Republican,Huelskamp,"Marshall, Roger",R,0,0,0,169992.0,67739.0,R,I,0.430120598492
116,H001058,rephuizenga,MI,2.0,rep,Republican,Huizenga,"Huizenga, Bill",R,1,1,1,212508.0,110391.0,R,D,0.31625059229
117,H001059,rephultgren,IL,14.0,rep,Republican,Hultgren,"Hultgren, Randy",R,1,1,1,200508.0,137589.0,R,D,0.1860974809
118,H001048,rep_hunter,CA,50.0,rep,Republican,Hunter,"Hunter, Duncan",R,1,1,1,179937.0,103646.0,R,D,0.269025294182
119,H001060,reproberthurt,VA,5.0,rep,Republican,Hurt,"Garrett, Tom",R,0,0,0,207758.0,148339.0,R,D,0.166861838207
120,I000057,repsteveisrael,NY,3.0,rep,Democrat,Israel,"Suozzi, Tom",D,1,1,1,171775.0,152304.0,D,R,0.0600810296255
121,I000056,darrellissa,CA,49.0,rep,Republican,Issa,"Issa, Darrell",R,1,1,1,155888.0,154267.0,R,R,0.00522641904854
122,J000032,jacksonleetx18,TX,18.0,rep,Democrat,Jackson Lee,"Jackson-Lee, Sheila",D,1,1,1,150157.0,48306.0,D,R,0.513198933806
123,J000290,replynnjenkins,KS,2.0,rep,Republican,Jenkins,"Jenkins, Lynn",R,1,1,1,181228.0,96840.0,R,D,0.303479724384
124,J000292,repbilljohnson,OH,6.0,rep,Republican,Johnson,"Johnson, Bill",R,1,1,1,213975.0,88780.0,R,D,0.413519182177
125,J000126,repebj,TX,30.0,rep,Democrat,Johnson,"Johnson, E.B.",D,1,1,1,170502.0,41518.0,D,R,0.608357702104
126,J000288,rephankjohnson,GA,4.0,rep,Democrat,Johnson,"Johnson, Hank",D,1,1,1,220146.0,70593.0,D,R,0.514389194432
127,J000174,samspressshop,TX,3.0,rep,Republican,Johnson,"Johnson, Sam",R,1,1,1,193684.0,109420.0,R,D,0.278003589527
128,J000255,repwalterjones,NC,3.0,rep,Republican,Jones,"Jones, Walter",R,1,1,1,217531.0,106170.0,R,D,0.34402426931
129,J000289,jim_jordan,OH,4.0,rep,Republican,Jordan,"Jordan, Jim",R,1,1,1,210227.0,98981.0,R,D,0.359777237329
130,K000009,repmarcykaptur,OH,9.0,rep,Democrat,Kaptur,"Kaptur, Marcy",D,1,1,1,193966.0,88427.0,D,R,0.373730935257
131,K000375,usrepkeating,MA,9.0,rep,Democrat,Keating,"Keating, Bill",D,1,1,1,211790.0,127803.0,D,R,0.247316640802
132,K000376,mikekellypa,PA,3.0,rep,Republican,Kelly,"Kelly, Mike",R,1,1,0,271098.0,244893.0,R,NONE,0.0507857695192
133,K000188,repronkind,WI,3.0,rep,Democrat,Kind,"Kind, Ron",D,1,1,0,257401.0,169.0,D,Write in,0.998687735373
134,K000210,reppeteking,NY,2.0,rep,Republican,King,"King, Peter",R,1,1,1,181506.0,110938.0,R,D,0.241304318092
135,K000362,stevekingia,IA,4.0,rep,Republican,King,"King, Steve",R,1,1,1,226719.0,142993.0,R,D,0.226462760203
136,K000378,repkinzinger,IL,16.0,rep,Republican,Kinzinger,"Kinzinger, Adam",R,1,1,0,259722.0,131.0,R,write in,0.998991737636
137,K000363,repjohnkline,MN,2.0,rep,Republican,Kline,"Lewis, Jason",R,0,0,0,173970.0,167315.0,R,D,0.0194998315191
138,L000573,raul_labrador,ID,1.0,rep,Republican,Labrador,"Labrador, Raul",R,1,1,1,242252.0,113052.0,R,D,0.363632269831
139,L000564,repdlamborn,CO,5.0,rep,Republican,Lamborn,"Lamborn, Doug",R,1,1,1,225445.0,111676.0,R,D,0.33747230223
140,L000567,replancenj7,NJ,7.0,rep,Republican,Lance,"Lance, Leonard",R,1,1,1,185850.0,148188.0,R,D,0.112747651465
141,L000559,jimlangevin,RI,2.0,rep,Democrat,Langevin,"Langevin, Jim",D,1,1,1,133108.0,70301.0,D,R,0.308771981574
142,L000560,repricklarsen,WA,2.0,rep,Democrat,Larsen,"Larsen, Rick",D,1,1,1,208314.0,117094.0,D,R,0.280325007375
143,L000557,repjohnlarson,CT,1.0,rep,Democrat,Larson,"Larson, John",D,1,1,1,200686.0,105674.0,D,R,0.310131871001
144,L000566,boblatta,OH,5.0,rep,Republican,Latta,"Latta, Bob",R,1,1,1,244599.0,100392.0,R,D,0.418002208753
145,L000551,repbarbaralee,CA,13.0,rep,Democrat,Lee,"Lee, Barbara",D,1,1,1,293117.0,29754.0,D,R,0.815691096444
146,L000263,repsandylevin,MI,9.0,rep,Democrat,Levin,"Levin, Sander",D,1,1,1,199661.0,128937.0,D,R,0.215229551002
147,L000287,repjohnlewis,GA,5.0,rep,Democrat,Lewis,"Lewis, John",D,1,1,1,253781.0,46768.0,D,R,0.688782860698
148,L000563,replipinski,IL,3.0,rep,Democrat,Lipinski,"Lipinski, Dan",D,1,1,0,225320.0,91.0,D,write in,0.999192585987
149,L000554,replobiondo,NJ,2.0,rep,Republican,LoBiondo,"LoBiondo, Frank",R,1,1,1,176338.0,110838.0,R,D,0.228083126724
150,L000565,daveloebsack,IA,2.0,rep,Democrat,Loebsack,"Loebsack, David",D,1,1,1,198571.0,170933.0,D,R,0.0747975664675
151,L000397,repzoelofgren,CA,19.0,rep,Democrat,Lofgren,"Lofgren, Zoe",D,1,1,1,181802.0,64061.0,D,R,0.47888864937
152,L000576,usreplong,MO,7.0,rep,Republican,Long,"Long, Billy",R,1,1,1,228692.0,92756.0,R,D,0.422886438864
